WKT,Name,Beschreibung,OSM,Generated
POINT (13.4016368 52.5173619),Humboldt Forum,,"Humboldt Forum, Schloßplatz, Friedrichswerder, Mitte, Berlin, 10178, Germany",False
POINT (13.399137 52.5190887),Granitschale,im Lustgarten,"Lustgarten, Friedrichswerder, Mitte, Berlin, 10178, Germany",False
POINT (13.3764961 52.5017494),Schöneberger Brücke,,"Schöneberger Brücke, Schöneberger Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Germany",False
POINT (13.4347161 52.5389457),Kiezteich,im Ernst-Thälmann-Park,"Ernst-Thälmann-Park, Prenzlauer Berg, Pankow, Berlin, 10405, Germany",False
POINT (13.3918657 52.5038633),Besselpark,,"Besselpark, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, Germany",False
POINT (13.427957 52.5430892),Zeiss-Großplanetarium,,"Zeiss Major Planetarium, 80, Prenzlauer Allee, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10405, Germany",False
POINT (13.3741582 52.5235733),Futurium,,"Futurium, 2, Alexanderufer, Mitte, Berlin, 10117, Germany",False
POINT (13.3954674 52.5239521),Monbijou-Brunnen,am Monbijoupark,"Monbijoupark, Mitte, Berlin, 10178, Germany",False
POINT (13.3723085 52.5281808),Hamburger Bahnhof,,"Hamburger Bahnhof, 50-51, Invalidenstraße, Moabit, Mitte, Berlin, 10557, Germany",False
POINT (13.302552 52.5172052),Luisenkirche,auf dem Gierkeplatz,"Gierkeplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10585, Germany",False
POINT (13.454625 52.5250525),Spielplatz,im Hausburgpark,"Hausburgpark, Prenzlauer Berg, Pankow, Berlin, 10249, Germany",False
POINT (13.4664235 52.5180154),Samariterkirche,,"Samariterkirche, Bänschstraße, Samariterviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Germany",False
POINT (13.4611267 52.5228737),Hammelauktionshalle,im Blankensteinpark,"Blankensteinpark, Prenzlauer Berg, Pankow, Berlin, 10247, Germany",False
POINT (13.4511011 52.5308133),Velodrom,,"Velodrom, Paul-Heyse-Straße, Blumenviertel, Prenzlauer Berg, Pankow, Berlin, 10407, Germany",False
POINT (13.4191188 52.5427526),Platzhaus,auf dem Helmholtzplatz,"Helmholtzplatz, Helmholtzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Germany",False
POINT (13.4044151 52.5461635),Walrosse,auf dem Falkplatz,"Falkplatz, Prenzlauer Berg, Pankow, Berlin, 10437, Germany",False
POINT (13.3927464 52.5172924),Reiterstandbild Friedrichs des Großen,unter den Linden,"Frederick II of Prussia, Unter den Linden, Dorotheenstadt, Mitte, Berlin, 10117, Germany",False
POINT (13.4086404 52.5182661),Rotes Rathaus,,"Red Townhall, 15, Rathausstraße, Friedrichswerder, Mitte, Berlin, 10178, Germany",False
POINT (13.4068272 52.5196044),Neptunbrunnen,in der Nähe vom Alexanderplatz,"Neptunbrunnen, Spandauer Straße, Spandauer Vorstadt, Mitte, Berlin, 10178, Germany",False
POINT (13.4131031 52.5170215),Parochialkirche,,"Parochialkirche, 66-67, Klosterstraße, Mitte, Berlin, 10179, Germany",False
POINT (13.4231539 52.5124578),Michaelbrücke,über der Spree,"Michaelbrücke, Michaelkirchstraße, Luisenstadt, Mitte, Berlin, 10179, Germany",False
POINT (13.4132681 52.5211662),Weltzeituhr,auf dem Alexanderplatz,"World Clock, Dircksenstraße, Mitte, Berlin, 10178, Germany",False
POINT (13.4292657 52.5092178),Schillingbrücke,über der Spree,"52.50921, 13.42926",False
POINT (13.3380771 52.5195456),Hansabrücke,über der Spree,"52.51954, 13.33807",False
POINT (13.4282486 52.5185134),Strausberger Platz,,"Schwebender Ring, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, Germany",False
POINT (13.4420928 52.5045506),Love Hate-Skulptur,auf dem Mercedes Platz,"Mercedes-Platz, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, Germany",False
POINT (13.4396359 52.5049881),East Side Gallery,,"East Side Gallery, Köpenicker Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Germany",False
POINT (13.4600082 52.5196791),Wasserfontäne,auf dem Forckenbeckplatz,"Forckenbeckplatz, Samariterviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Germany",False
POINT (13.4527638 52.5165161),LOQI Tower,am Frankfurter Tor,"Frankfurter Tor, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Germany",False
POINT (13.4498977 52.5168996),Kosmos,an der Karl-Marx-Allee,"52.51689, 13.44989",False
POINT (13.4443927 52.5174803),Rosengarten,an der Karl-Marx-Allee,"52.51748, 13.44439",False
POINT (13.3528157 52.5176428),Schloss Bellevue,,"Bellevue Palace, 1, Spreeweg, Tiergarten, Mitte, Berlin, 10557, Germany",False
POINT (13.3476447 52.5173391),Sonnenuhr,beim Englischen Garten im Tiergarten,"Englischer Garten, Altonaer Straße, Hansaviertel, Tiergarten, Mitte, Berlin, 10557, Germany",False
POINT (13.4345652 52.5276276),Wasserglocke,im Volkspark Friedrichshain,"Volkspark Friedrichshain, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Germany",False
POINT (13.4176476 52.5285924),Skulptur,an der Kreuzung Prenzlauer Allee/Prenzlauer Berg,"52.52859, 13.41764",False
POINT (13.4038228 52.5266984),Jacob-Teitel-Park,,"Jacob-Teitel-Park, Scheunenviertel, Mitte, Berlin, 10119, Germany",False
POINT (13.4035186 52.5213053),Berlin Dungeon,,"Berlin Dungeon, 2, Spandauer Straße, Spandauer Vorstadt, Mitte, Berlin, 10178, Germany",False
POINT (13.4117032 52.5267049),Volksbühne,am Rosa-Luxemburg-Platz,"Rosa-Luxemburg-Platz, Rosa-Luxemburg-Straße, Scheunenviertel, Mitte, Berlin, 10178, Germany",False
POINT (13.4241013 52.4697757),Wartheplatz,,"Wartheplatz, Neukölln, Berlin, 12051, Germany",False
POINT (13.2914862 52.51775),Historische Informationstafel,am Klausenerplatz,"St. Kamillus-Kirche, Klausenerplatz, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 14059, Germany",False
POINT (13.3084062 52.5202224),Der Spreekieker,,"52.52022, 13.3084",False
POINT (13.3259702 52.5140308),Institut für Mathematik,der TU Berlin,"52.51403, 13.32597",False
POINT (13.3419898 52.5228094),Lessingbrücke,über der Spree,"52.5228, 13.34198",False
POINT (13.3551 52.5235489),Naturdenkmal,im Carl-von-Ossietzky-Park,"Carl-von-Ossietzky-Park, Moabit, Mitte, Berlin, Germany",False
POINT (13.4230589 52.5211521),Bürgeramt Rathaus Mitte,,"Bürgeramt Rathaus Mitte, 31, Karl-Marx-Allee, Mitte, Berlin, 10178, Germany",False
POINT (13.3467132 52.5186176),Akademie der Künste,,"Akademie der Künste, 10, Hanseatenweg, Hansaviertel, Mitte, Berlin, 10557, Germany",False
POINT (13.4419495 52.517605),Computerspielmuseum,an der Karl-Marx-Allee,"52.5176, 13.44194",False
POINT (13.4113776 52.5259489),Babylon,am Rosa-Luxemburg-Platz,"Kino Babylon, 30, Rosa-Luxemburg-Straße, Scheunenviertel, Mitte, Berlin, 10178, Germany",False
POINT (13.4505203 52.5212333),Kugelsteinbrunnen,auf dem Petersburger Platz,"Petersburger Platz, Hausburgviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Germany",False
POINT (13.424585 52.5354004),Stadtplatz Marie,,"52.5354, 13.42458",False
POINT (13.4303986 52.5237102),Brunnen,auf dem Platz der Vereinten Nationen,"Sprudelbrunnen, Platz der Vereinten Nationen, Barnimkiez, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Germany",False
POINT (13.408762 52.5319042),Teutoburger Platz,,"Teutoburger Platz, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10119, Germany",False
POINT (13.348414 52.5254603),"Spielplatz ""Piepmatz""",im kleinen Tiergarten,"Kleiner Tiergarten, Moabit, Mitte, Berlin, 10551, Germany",False
POINT (13.4230661 52.5002238),Rio-Reiser-Platz,,"Rio-Reiser-Platz, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Germany",False
POINT (13.418578 52.5341853),Wasserturm,Prenzlauer Berg,"Wasserturm Prenzlauer Berg, Knaackstraße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10405, Germany",False
POINT (13.4170076 52.536257),Kollwitzplatz,,"Kollwitzplatz, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10435, Germany",False
POINT (13.387738 52.5310893),Planschepark,,"Planschepark, Eichendorffstraße, Mitte, Berlin, 10115, Germany",False
POINT (13.4039935 52.5428205),Graffiti Wall,im Mauerpark,"Mauerpark, Prenzlauer Berg, Pankow, Berlin, 10437, Germany",False
POINT (13.3850986 52.5474401),Flakturm,im Volkspark Humboldthain,"Flakturm Humboldthain, Humboldtsteg, Gesundbrunnen, Mitte, Berlin, 13357, Germany",False
POINT (13.4020436 52.5371816),Arkonaplatz,,"Arkonaplatz, Mitte, Berlin, 10435, Germany",False
POINT (13.3855299 52.5337523),North Side Gallery,im Park am Nordbahnhof,"52.53375, 13.38552",False
POINT (13.3987878 52.541296),Vinetaplatz,,"Vinetaplatz, Gesundbrunnen, Mitte, Berlin, 13355, Germany",False
POINT (13.375564 52.532157),Kletterspielplatz,im Südpanke Park,"Grünzug Südpanke, Mitte, Berlin, 10115, Germany",False
POINT (13.3848985 52.5403655),Institut für Bauingenierwesen,der TU Berlin,"52.54036, 13.38489",False
POINT (13.3660219 52.5358622),Kieler Brücke,,"Kieler Brücke, Promenade am Berlin-Spandauer-Schifffahrtskanal, Wedding, Mitte, Berlin, Germany",False
POINT (13.3796277 52.5403764),Liesenbrücke,,"52.54037, 13.37962",False
POINT (13.3637175 52.5375798),Uferpark,am Nordhafen,"52.53757, 13.36371",False
POINT (13.3555265 52.5347414),Botschaft der Republik Usbekistan,,"52.53474, 13.35552",False
POINT (13.3782879 52.5341246),Bundesnachrichtendienst,,"Federal Intelligence Service, 96, Chausseestraße, Mitte, Berlin, 10115, Germany",False
POINT (13.3375574 52.5330963),Extrem legendäre Moabiter Fische,,"52.53309, 13.33755",False
POINT (13.3354853 52.5339061),21er Gallery,im Moabiter Stadtgarten,"52.5339, 13.33548",False
POINT (13.3464155 52.5307084),Heilige-Geist-Kirche,,"Heilige-Geist-Kirche, 36, Perleberger Straße, Moabit, Mitte, Berlin, 10559, Germany",False
POINT (13.3483196 52.5216919),Moabiter Brücke,über der Spree,"Moabiter-Brücke, Bartningallee, Hansaviertel, Mitte, Berlin, 10557, Germany",False
POINT (13.3849451 52.5181887),Neustädtischer Kirchplatz,,"Neustädtischer Kirchplatz, Dorotheenstadt, Mitte, Berlin, Germany",False
POINT (13.3773316 52.5212528),Parlament der Bäume,,"The Parliament of Trees, Schiffbauerdamm, Mitte, Berlin, 10117, Germany",False
POINT (13.3802459 52.5192464),Marschallbrücke,über der Spree,"Marschallbrücke, Dorotheenstadt, Mitte, Berlin, 10117, Germany",False
POINT (13.3782431 52.5081059),Umweltministerium,,"52.5081, 13.37824",False
POINT (13.3879497 52.522134),Weidendammer Brücke,über der Spree,"52.52213, 13.38794",False
POINT (13.4045667 52.518606),Marx-Engels-Forum,,"Marx-Engels Forum, Mitte, Berlin, 10178, Germany",False
POINT (13.3864552 52.5222521),Bertolt Brecht-Statue,auf dem Bertolt-Brecht-Platz,"Bertolt-Brecht-Platz, Dorotheenstadt, Mitte, Berlin, Germany",False
POINT (13.3940407 52.5222902),Monbijoubrücke,über der Spree,"Nördliche Monbijoubrücke, Monbijoustraße, Spandauer Vorstadt, Mitte, Berlin, 10178, Germany",False
POINT (13.399606 52.5218695),James-Simon-Park,,"James-Simon Park, Spandauer Vorstadt, Mitte, Berlin, 10178, Germany",False
POINT (13.3992976 52.5205785),Die Bogenspannerin,an der Bodestraße,"52.52057, 13.39929",False
